time,value
2024-03-16T22:13:01.887351593Z,127
2024-03-16T22:13:02.653199087Z,118
2024-03-16T22:13:03.387116008Z,108
2024-03-16T22:13:04.129001622Z,101
2024-03-16T22:13:05.18091512Z,92
2024-03-16T22:13:06.129029211Z,86
2024-03-16T22:13:06.935560643Z,80
2024-03-16T22:13:07.759168143Z,74
2024-03-16T22:13:11.501006506Z,73
2024-03-16T22:13:13.036959161Z,76
2024-03-16T22:13:13.790838038Z,78
2024-03-16T22:13:17.87513893Z,76
2024-03-16T22:13:18.695081459Z,75
2024-03-16T22:13:19.38909358Z,76
2024-03-16T22:13:23.171072608Z,77
2024-03-16T22:13:24.873365432Z,76
2024-03-16T22:13:25.635183985Z,77
2024-03-16T22:13:26.359097759Z,78
2024-03-16T22:13:27.844971674Z,77
2024-03-16T22:13:28.617067452Z,78
2024-03-16T22:13:29.242915667Z,79
2024-03-16T22:13:29.900826982Z,80
2024-03-16T22:13:30.550890699Z,81
2024-03-16T22:13:31.923079414Z,85
2024-03-16T22:13:32.457019075Z,89
2024-03-16T22:13:32.984863778Z,94
2024-03-16T22:13:33.493186124Z,101
2024-03-16T22:13:33.999513699Z,105
2024-03-16T22:13:34.514861473Z,115
2024-03-16T22:13:35.0271765Z,134
2024-03-16T22:13:35.536718056Z,151
2024-03-16T22:13:36.049122679Z,165
2024-03-16T22:13:36.573059724Z,171
2024-03-16T22:13:37.09711353Z,202
2024-03-16T22:13:37.602855477Z,209
2024-03-16T22:13:38.114911109Z,204
2024-03-16T22:13:38.652996824Z,195
2024-03-16T22:13:39.166812865Z,202
2024-03-16T22:13:39.687012382Z,206
2024-03-16T22:13:40.649234993Z,181
2024-03-16T22:13:41.461156388Z,157
2024-03-16T22:13:42.199419499Z,142
2024-03-16T22:13:42.864621419Z,133
2024-03-16T22:13:43.599210355Z,123
2024-03-16T22:13:44.360968207Z,111
2024-03-16T22:13:45.101128615Z,102
2024-03-16T22:13:45.801157851Z,95
2024-03-16T22:13:46.53918155Z,88
2024-03-16T22:13:47.337170699Z,81
2024-03-16T22:13:48.171863485Z,79
2024-03-16T22:13:48.936993664Z,80
2024-03-16T22:13:50.249166925Z,81
2024-03-16T22:13:50.752731717Z,84
