date,time,value
2024-03-16,21:32:05,73.0
2024-03-16,21:32:05,74.0
2024-03-16,21:32:07,75.0
2024-03-16,21:32:07,80.0
2024-03-16,21:32:08,84.0
2024-03-16,21:32:08,91.0
2024-03-16,21:32:09,102.0
2024-03-16,21:32:09,112.0
2024-03-16,21:32:10,134.0
2024-03-16,21:32:10,150.0
2024-03-16,21:32:11,169.0
2024-03-16,21:32:12,153.0
2024-03-16,21:32:13,143.0
2024-03-16,21:32:14,133.0
2024-03-16,21:32:14,121.0
2024-03-16,21:32:15,112.0
2024-03-16,21:32:16,105.0
2024-03-16,21:32:17,94.0
2024-03-16,21:32:18,87.0
2024-03-16,21:32:18,82.0
2024-03-16,21:32:19,81.0
2024-03-16,21:32:20,79.0
2024-03-16,21:32:21,78.0
2024-03-16,21:32:21,77.0
2024-03-16,21:32:23,78.0
2024-03-16,21:32:24,77.0
2024-03-16,21:32:24,79.0
2024-03-16,21:32:25,80.0
2024-03-16,21:32:27,78.0
2024-03-16,21:32:28,76.0
2024-03-16,21:32:30,75.0
2024-03-16,21:32:31,74.0
2024-03-16,21:32:33,73.0
2024-03-16,21:32:35,75.0
2024-03-16,21:32:36,74.0
2024-03-16,21:32:37,73.0
2024-03-16,21:32:38,72.0
2024-03-16,21:32:39,73.0
2024-03-16,21:32:40,72.0
2024-03-16,21:32:41,70.0
2024-03-16,21:32:45,72.0
2024-03-16,21:32:46,73.0
2024-03-16,21:32:47,72.0
2024-03-16,21:32:49,74.0
2024-03-16,21:32:50,76.0
2024-03-16,21:32:50,75.0
2024-03-16,21:32:52,76.0
2024-03-16,21:32:54,75.0
2024-03-16,21:32:54,76.0
2024-03-16,21:32:56,77.0
2024-03-16,21:32:57,74.0
2024-03-16,21:32:58,73.0
2024-03-16,21:32:58,75.0
2024-03-16,21:32:59,77.0
2024-03-16,21:33:00,76.0
2024-03-16,21:33:01,75.0
2024-03-16,21:33:03,74.0
2024-03-16,21:33:03,73.0
2024-03-16,21:33:05,74.0
2024-03-16,21:33:06,75.0
2024-03-16,21:33:07,73.0
2024-03-16,21:33:07,72.0
2024-03-16,21:33:09,74.0
2024-03-16,21:33:10,76.0
2024-03-16,21:33:10,77.0
2024-03-16,21:33:11,78.0
2024-03-16,21:33:12,79.0
2024-03-16,21:33:14,80.0
2024-03-16,21:33:15,81.0
2024-03-16,21:33:17,78.0
2024-03-16,21:33:18,77.0
2024-03-16,21:33:19,76.0
2024-03-16,21:33:20,77.0
2024-03-16,21:33:22,78.0
2024-03-16,21:33:23,79.0
2024-03-16,21:33:24,76.0
2024-03-16,21:33:25,75.0
2024-03-16,21:33:26,76.0
2024-03-16,21:33:27,75.0
2024-03-16,21:33:28,74.0
2024-03-16,21:33:28,73.0
